route_id,direction_id,Direction
7145,1,Westbound
7145,0,Eastbound
7120,1,Westbound
7106,1,Westbound
7106,0,Eastbound
6831,1,Southbound
6831,0,Northbound
5797,1,Direction B
5797,0,Direction A
5138,1,Eastbound
5138,0,Westbound
5137,1,Northbound
5137,0,Southbound
5136,1,Northbound
5136,1,Eastbound
5136,0,Westbound
5136,0,Southbound
3406,1,Southbound
3406,0,Northbound
3405,1,Southbound
3405,0,Northbound
3404,1,Southbound
3404,0,Northbound
3403,1,Southbound
3403,0,Northbound
3402,1,Southbound
3402,0,Northbound
3401,1,Southbound
3401,0,Northbound
3400,1,Southbound
3400,0,Northbound
3399,1,Southbound
3399,0,Northbound
3398,1,Southbound
3398,0,Northbound
3397,1,Southbound
3397,0,Northbound
3396,1,Southbound
3396,0,Northbound
3395,1,Southbound
3395,0,Northbound
3394,1,Southbound
3394,0,Northbound
3392,1,Westbound
3392,0,Eastbound
3390,1,Westbound
3390,0,Eastbound
3387,1,Westbound
3387,0,Eastbound
3386,1,Westbound
3386,0,Eastbound
3385,0,Direction A
3384,1,Southbound
3384,0,Northbound
3383,1,Westbound
3383,0,Eastbound
3382,1,Westbound
3382,0,Eastbound
3381,1,Westbound
3381,0,Eastbound
3380,1,Southbound
3380,0,Northbound
3379,1,Southbound
3379,0,Northbound
3378,1,Southbound
3378,0,Northbound
3377,1,Westbound
3377,0,Eastbound
