trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_168816_b_531_tn_1,07:33:00,07:33:00,2394809,1,,0,0,0,0,0,,
t_168816_b_531_tn_1,07:53:00,07:53:00,2388635,2,,0,0,9887.9617131,0,0,,
t_168816_b_531_tn_2,08:33:00,08:33:00,2394809,1,,0,0,0,0,0,,
t_168816_b_531_tn_2,08:53:00,08:53:00,2388635,2,,0,0,9887.9617131,0,0,,
t_168816_b_531_tn_3,09:33:00,09:33:00,2394809,1,,0,0,0,0,0,,
t_168816_b_531_tn_3,09:53:00,09:53:00,2388635,2,,0,0,9887.9617131,0,0,,
t_168817_b_531_tn_1,15:03:00,15:03:00,2388635,1,,0,0,0,0,0,,
t_168817_b_531_tn_1,15:28:00,15:28:00,2394809,2,,0,0,9770.17101236,0,0,,
t_168817_b_531_tn_2,16:03:00,16:03:00,2388635,1,,0,0,0,0,0,,
t_168817_b_531_tn_2,16:28:00,16:28:00,2394809,2,,0,0,9770.17101236,0,0,,
t_168817_b_531_tn_3,17:03:00,17:03:00,2388635,1,,0,0,0,0,0,,
t_168817_b_531_tn_3,17:28:00,17:28:00,2394809,2,,0,0,9770.17101236,0,0,,
t_168819_b_531_tn_0,16:15:00,16:15:00,813781,1,,0,0,0,0,0,,
t_168819_b_531_tn_0,16:18:00,16:18:00,813783,2,,0,0,1083.84345906625,0,0,,
t_168819_b_531_tn_0,,,2394885,3,,0,0,2244.24410965132,0,0,,
t_168819_b_531_tn_0,16:21:00,16:21:00,813784,4,,0,0,2634.36622466544,0,0,,
t_168819_b_531_tn_0,16:24:00,16:24:00,813785,5,,0,0,3604.48168642821,0,0,,
t_168819_b_531_tn_0,16:27:00,16:27:00,813786,6,,0,0,4024.69065156385,0,0,,
t_168819_b_531_tn_0,16:30:00,16:30:00,813787,7,,0,0,4987.53622605863,0,0,,
t_168819_b_531_tn_0,17:47:00,17:47:00,813095,8,,0,0,116488.706684784,0,0,,
t_168819_b_531_tn_0,18:07:00,18:07:00,813788,9,,0,0,128543.879981292,0,0,,
t_168819_b_531_tn_0,18:27:00,18:27:00,813522,10,,0,0,143211.34298307,0,0,,
t_168820_b_531_tn_0,16:15:00,16:15:00,813781,1,,0,0,0,0,0,,
t_168820_b_531_tn_0,16:18:00,16:18:00,813783,2,,0,0,1083.84345906625,0,0,,
t_168820_b_531_tn_0,,,2394885,3,,0,0,2244.24410965132,0,0,,
t_168820_b_531_tn_0,16:21:00,16:21:00,813784,4,,0,0,2634.36622466544,0,0,,
t_168820_b_531_tn_0,16:24:00,16:24:00,813785,5,,0,0,3604.48168642821,0,0,,
t_168820_b_531_tn_0,16:27:00,16:27:00,813786,6,,0,0,4024.69065156385,0,0,,
t_168820_b_531_tn_0,16:30:00,16:30:00,813787,7,,0,0,4987.53622605863,0,0,,
t_168820_b_531_tn_0,17:12:00,17:12:00,813793,8,,0,0,59592.1831048695,0,0,,
t_168820_b_531_tn_0,17:22:00,17:22:00,813790,9,,0,0,63207.1087456635,0,0,,
t_168820_b_531_tn_0,17:32:00,17:32:00,813791,10,,0,0,68060.4479853753,0,0,,
t_168820_b_531_tn_0,17:42:00,17:42:00,813789,11,,0,0,74372.4153973599,0,0,,
t_168821_b_531_tn_0,06:15:00,06:15:00,2387606,1,,0,0,0,0,0,,
t_168821_b_531_tn_0,09:30:00,09:30:00,813774,2,,0,0,232311.120532406,0,0,,
t_168821_b_531_tn_0,10:15:00,10:15:00,2388640,3,,0,0,286964.341468496,0,0,,
t_168821_b_531_tn_0,10:30:00,10:30:00,813175,4,,0,0,289467.7444305,0,0,,
t_168822_b_531_tn_0,14:45:00,14:45:00,2388640,1,,0,0,0,0,0,,
t_168822_b_531_tn_0,14:45:00,14:45:00,813175,2,,0,0,2503.40296193766,0,0,,
t_168822_b_531_tn_0,16:00:00,16:00:00,813774,3,,0,0,57662.3830292369,0,0,,
t_168822_b_531_tn_0,19:15:00,19:15:00,2387606,4,,0,0,290481.53321348,0,0,,
t_168823_b_531_tn_0,14:08:00,14:08:00,813202,1,,0,0,0,0,0,,
t_168823_b_531_tn_0,,,813450,2,,0,0,359.443229380522,0,0,,
t_168823_b_531_tn_0,,,813366,3,,0,0,1097.29817333539,0,0,,
t_168823_b_531_tn_0,,,813331,4,,0,0,1789.46883911366,0,0,,
