timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
1,3384,0,20160101,20190101,0,0,0,0,0,0,1,Adelanto Circulator,Year-round calendar (Sunday only),Northbound,horizontal
2,3384,0,20160101,20190101,0,0,0,0,0,1,0,Adelanto Circulator,Year-round calendar (Saturday only),Northbound,horizontal
3,3384,0,20160101,20190101,1,1,1,1,1,0,0,Adelanto Circulator,Year-round calendar (Monday-Friday),Northbound,horizontal
4,3384,1,20160101,20190101,0,0,0,0,0,0,1,Adelanto Circulator,Year-round calendar (Sunday only),Southbound,horizontal
5,3384,1,20160101,20190101,0,0,0,0,0,1,0,Adelanto Circulator,Year-round calendar (Saturday only),Southbound,horizontal
6,3384,1,20160101,20190101,1,1,1,1,1,0,0,Adelanto Circulator,Year-round calendar (Monday-Friday),Southbound,horizontal
7,3384,,20160101,20190101,0,0,0,0,0,0,1,Adelanto Circulator,Year-round calendar (Sunday only),,horizontal
8,3384,,20160101,20190101,0,0,0,0,0,1,0,Adelanto Circulator,Year-round calendar (Saturday only),,horizontal
9,3384,,20160101,20190101,1,1,1,1,1,0,0,Adelanto Circulator,Year-round calendar (Monday-Friday),,horizontal
10,3381,0,20160101,20190101,0,0,0,0,0,0,1,Apple Valley - Lucerne Valley,Year-round calendar (Sunday only),Eastbound,horizontal
11,3381,0,20160101,20190101,0,0,0,0,0,1,0,Apple Valley - Lucerne Valley,Year-round calendar (Saturday only),Eastbound,horizontal
12,3381,0,20160101,20190101,1,1,1,1,1,0,0,Apple Valley - Lucerne Valley,Year-round calendar (Monday-Friday),Eastbound,horizontal
13,3381,1,20160101,20190101,0,0,0,0,0,0,1,Apple Valley - Lucerne Valley,Year-round calendar (Sunday only),Westbound,horizontal
14,3381,1,20160101,20190101,0,0,0,0,0,1,0,Apple Valley - Lucerne Valley,Year-round calendar (Saturday only),Westbound,horizontal
15,3381,1,20160101,20190101,1,1,1,1,1,0,0,Apple Valley - Lucerne Valley,Year-round calendar (Monday-Friday),Westbound,horizontal
16,3385,0,20160101,20190101,0,0,0,0,0,0,1,Apple Valley North Deviation,Year-round calendar (Sunday only),Direction A,horizontal
17,3385,0,20160101,20190101,0,0,0,0,0,1,0,Apple Valley North Deviation,Year-round calendar (Saturday only),Direction A,horizontal
18,3385,0,20160101,20190101,1,1,1,1,1,0,0,Apple Valley North Deviation,Year-round calendar (Monday-Friday),Direction A,horizontal
19,6831,0,20160101,20190101,0,0,0,0,0,0,1,Apple Valley Road,Year-round calendar (Sunday only),Northbound,horizontal
20,6831,0,20160101,20190101,0,0,0,0,0,1,0,Apple Valley Road,Year-round calendar (Saturday only),Northbound,horizontal
21,6831,0,20160101,20190101,1,1,1,1,1,0,0,Apple Valley Road,Year-round calendar (Monday-Friday),Northbound,horizontal
22,6831,1,20160101,20190101,0,0,0,0,0,0,1,Apple Valley Road,Year-round calendar (Sunday only),Southbound,horizontal
23,6831,1,20160101,20190101,0,0,0,0,0,1,0,Apple Valley Road,Year-round calendar (Saturday only),Southbound,horizontal
24,6831,1,20160101,20190101,1,1,1,1,1,0,0,Apple Valley Road,Year-round calendar (Monday-Friday),Southbound,horizontal
25,3389,,20160101,20190101,0,0,0,0,0,0,1,Apple Valley South Deviation,Year-round calendar (Sunday only),,horizontal
26,3389,,20160101,20190101,0,0,0,0,0,1,0,Apple Valley South Deviation,Year-round calendar (Saturday only),,horizontal
27,3389,,20160101,20190101,1,1,1,1,1,0,0,Apple Valley South Deviation,Year-round calendar (Monday-Friday),,horizontal
28,3387,0,20160101,20190101,0,0,0,0,0,0,1,Apple Valley - Victor Valley College,Year-round calendar (Sunday only),Eastbound,horizontal
29,3387,0,20160101,20190101,0,0,0,0,0,1,0,Apple Valley - Victor Valley College,Year-round calendar (Saturday only),Eastbound,horizontal
30,3387,0,20160101,20190101,1,1,1,1,1,0,0,Apple Valley - Victor Valley College,Year-round calendar (Monday-Friday),Eastbound,horizontal
31,3387,1,20160101,20190101,0,0,0,0,0,0,1,Apple Valley - Victor Valley College,Year-round calendar (Sunday only),Westbound,horizontal
32,3387,1,20160101,20190101,0,0,0,0,0,1,0,Apple Valley - Victor Valley College,Year-round calendar (Saturday only),Westbound,horizontal
33,3387,1,20160101,20190101,1,1,1,1,1,0,0,Apple Valley - Victor Valley College,Year-round calendar (Monday-Friday),Westbound,horizontal
