trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
010002,2037,0,To Government Plaza,"",0,68850,4698,
020001,2035,0,To Visalia Medical Clinic,"",0,68859,4705,
040001,2036,0,To Visalia Medical Clinic,"",0,68864,4711,
040002,2036,0,To Downtown,"",1,68863,4713,
050001,2032,0,To Visalia Medical Clinic,"",0,68865,4715,
060001,2031,0,To Frontage/Betty Drive,"",0,68867,6295,
710001,2034,0,Counter-Clockwise,"",,68869,4731,
810001,2443,0,Counter Clockwise,"",,68873,4736,
090001,2042,0,To Exeter via Farmersville,"",0,68875,4738,
120001,2043,0,To Exeter,"",0,68878,4746,
150001,2040,0,To San Joaquin College,"",0,68879,4749,
160001,2144,0,To Visalia Medical Clinic,"",0,68880,4752,
010004,2037,0,To Government Plaza,"",0,68852,4698,
720001,2434,0,Clockwise,"",,68871,4734,
820001,2033,0,,"",,68874,4737,
120002,2043,0,To Visalia,"",1,68878,4747,
150002,2040,0,To Downtown,"",1,68879,4751,
010001,2037,0,To Downtown,"",1,68850,4699,
010006,2037,0,To Government Plaza,"",0,68854,4698,
020003,2035,0,To Visalia Medical Clinic,"",0,68860,4705,
030001,2134,0,,"",,68862,4710,
710002,2034,0,Counter-Clockwise,"",,68870,4731,
110001,2041,0,To Tulare,"",0,68877,4744,
160003,2144,0,To Visalia Medical Clinic,"",0,68881,4752,
160002,2144,0,To Orchard/Mooney,"",1,68880,4753,
040003,2036,0,To Visalia Medical Clinic,"",0,68863,4711,
040004,2036,0,To Downtown,"",1,68864,4713,
050002,2032,0,To Downtown,"",1,68865,4716,
090002,2042,0,To Visalia via Farmersville,"",1,68875,4743,
010003,2037,0,To Downtown,"",1,68852,4699,
010008,2037,0,To Government Plaza,"",0,68856,4698,
050003,2032,0,To Visalia Medical Clinic,"",0,68866,4715,
090003,2042,0,To Exeter via Farmersville,"",0,68876,4738,
720002,2434,0,Clockwise,"",,68872,4734,
810002,2443,0,Counter Clockwise,"",,68873,4736,
060002,2031,0,To Downtown,"",1,68867,6296,
020002,2035,0,To Downtown,"",1,68859,4708,
120003,2043,0,To Exeter,"",0,68878,4746,
010005,2037,0,To Downtown,"",1,68854,4699,
020005,2035,0,To Visalia Medical Clinic,"",0,68861,4705,
060003,2031,0,To Frontage/Betty Drive,"",0,68868,6295,
160004,2144,0,To Orchard/Mooney,"",1,68881,4753,
110002,2041,0,To Visalia,"",1,68877,4745,
820002,2033,0,,"",,68874,4737,
710003,2034,0,Counter-Clockwise,"",,68869,4731,
010010,2037,0,To Government Plaza,"",0,68850,4698,
040005,2036,0,To Visalia Medical Clinic,"",0,68864,4711,
040006,2036,0,To Downtown,"",1,68863,4713,
