trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_118949_b_631_tn_0,07:00:00,07:00:00,2371244,1,,0,0,0,0,0,,
t_118949_b_631_tn_0,07:02:00,07:02:00,2371245,2,,0,0,634.302188866811,0,0,,
t_118949_b_631_tn_0,07:05:00,07:05:00,12417,3,,0,0,1679.85802149497,0,0,,
t_118949_b_631_tn_0,07:07:00,07:07:00,2371247,4,,0,0,2610.91177795822,0,0,,
t_118949_b_631_tn_0,07:12:00,07:12:00,12418,5,,0,0,4317.13178843994,0,0,,
t_118949_b_631_tn_0,07:15:00,07:15:00,2371246,6,,0,0,5281.59280908107,0,0,,
t_118949_b_631_tn_0,07:40:00,07:40:00,12172,7,,0,0,21894.8742702864,0,0,,
t_118949_b_631_tn_0,07:45:00,07:45:00,758939,8,,0,0,23850.8839187,0,0,,
t_118950_b_631_tn_0,11:35:00,11:35:00,758939,1,,0,0,0,0,0,,
t_118950_b_631_tn_0,11:40:00,11:40:00,12172,2,,0,0,2606.27995766822,0,0,,
t_118950_b_631_tn_0,12:00:00,12:00:00,2371244,3,,0,0,19002.7188250909,0,0,,
t_118950_b_631_tn_0,12:02:00,12:02:00,2371245,4,,0,0,19637.0210139577,0,0,,
t_118950_b_631_tn_0,12:05:00,12:05:00,12417,5,,0,0,20682.5768465859,0,0,,
t_118950_b_631_tn_0,12:07:00,12:07:00,2371247,6,,0,0,21613.6306030491,0,0,,
t_118950_b_631_tn_0,12:12:00,12:12:00,12418,7,,0,0,23319.8506135309,0,0,,
t_118950_b_631_tn_0,12:15:00,12:15:00,2371246,8,,0,0,24275.7707606713,0,0,,
t_118950_b_631_tn_0,12:40:00,12:40:00,12172,9,,0,0,40900.3607464842,0,0,,
t_118950_b_631_tn_0,12:45:00,12:45:00,758939,10,,0,0,42856.37039487,0,0,,
t_118951_b_631_tn_0,17:35:00,17:35:00,758939,1,,0,0,0,0,0,,
t_118951_b_631_tn_0,17:40:00,17:40:00,12172,2,,0,0,2606.27995766822,0,0,,
t_118951_b_631_tn_0,18:00:00,18:00:00,2371244,3,,0,0,19002.7188250909,0,0,,
t_118951_b_631_tn_0,18:02:00,18:02:00,2371245,4,,0,0,19637.0210139577,0,0,,
t_118951_b_631_tn_0,18:05:00,18:05:00,12417,5,,0,0,20682.5768465859,0,0,,
t_118951_b_631_tn_0,18:07:00,18:07:00,2371247,6,,0,0,21613.6306030491,0,0,,
t_118951_b_631_tn_0,18:12:00,18:12:00,12418,7,,0,0,23319.8506135309,0,0,,
t_118951_b_631_tn_0,18:15:00,18:15:00,2371246,8,,0,0,24275.77076067,0,0,,
t_119052_b_631_tn_0,10:00:00,10:00:00,12419,1,,0,0,0,0,0,,
t_119052_b_631_tn_0,10:02:00,10:02:00,12420,2,,0,0,1488.76288515999,0,0,,
t_119052_b_631_tn_0,10:03:00,10:03:00,12421,3,,0,0,1953.86630147389,0,0,,
t_119052_b_631_tn_0,10:05:00,10:05:00,12422,4,,0,0,3056.15784580719,0,0,,
t_119052_b_631_tn_0,10:10:00,10:10:00,12423,5,,0,0,4920.2807661487,0,0,,
t_119052_b_631_tn_0,10:30:00,10:30:00,12321,6,,0,0,24132.7143678173,0,0,,
t_119052_b_631_tn_0,10:40:00,10:40:00,758939,7,,0,0,27596.73456407,0,0,,
t_119053_b_631_tn_0,16:00:00,16:00:00,758939,1,,0,0,0,0,0,,
t_119053_b_631_tn_0,16:10:00,16:10:00,12322,2,,0,0,3459.78670243157,0,0,,
t_119053_b_631_tn_0,16:25:00,16:25:00,12419,3,,0,0,21496.258858255,0,0,,
t_119053_b_631_tn_0,16:27:00,16:27:00,12420,4,,0,0,22985.021743415,0,0,,
t_119053_b_631_tn_0,16:28:00,16:28:00,12421,5,,0,0,23450.1251597289,0,0,,
t_119053_b_631_tn_0,16:30:00,16:30:00,12422,6,,0,0,24552.4167040622,0,0,,
t_119053_b_631_tn_0,16:35:00,16:35:00,12423,7,,0,0,26416.5396244,0,0,,
t_119055_b_631_tn_0,06:40:00,06:40:00,12412,1,,0,0,0,0,0,,
t_119055_b_631_tn_0,06:55:00,06:55:00,2371251,2,,0,0,15449.369621001,0,0,,
t_119055_b_631_tn_0,07:00:00,07:00:00,12414,3,,0,0,21804.6586014506,0,0,,
t_119055_b_631_tn_0,07:15:00,07:15:00,12415,4,,0,0,34378.7520727878,0,0,,
t_119055_b_631_tn_0,07:45:00,07:45:00,758939,5,,0,0,60612.42918276,0,0,,
t_119056_b_631_tn_0,12:40:00,12:40:00,12412,1,,0,0,0,0,0,,
t_119056_b_631_tn_0,12:55:00,12:55:00,2371251,2,,0,0,15449.369621001,0,0,,
t_119056_b_631_tn_0,13:00:00,13:00:00,12414,3,,0,0,21804.6586014506,0,0,,
t_119056_b_631_tn_0,13:15:00,13:15:00,12415,4,,0,0,34378.7520727878,0,0,,
t_119056_b_631_tn_0,13:45:00,13:45:00,758939,5,,0,0,60612.42918276,0,0,,
t_119057_b_631_tn_0,11:25:00,11:25:00,758939,1,,0,0,0,0,0,,
t_119057_b_631_tn_0,11:50:00,11:50:00,12415,2,,0,0,26423.5525553864,0,0,,
t_119057_b_631_tn_0,12:05:00,12:05:00,12414,3,,0,0,38997.6460267236,0,0,,
t_119057_b_631_tn_0,12:10:00,12:10:00,2371251,4,,0,0,45375.2546074356,0,0,,
t_119057_b_631_tn_0,12:30:00,12:30:00,12412,5,,0,0,60847.02859888,0,0,,
t_119058_b_631_tn_0,17:15:00,17:15:00,758939,1,,0,0,0,0,0,,
t_119058_b_631_tn_0,17:40:00,17:40:00,12415,2,,0,0,26423.5525553864,0,0,,
t_119058_b_631_tn_0,17:55:00,17:55:00,12414,3,,0,0,38997.6460267236,0,0,,
t_119058_b_631_tn_0,18:00:00,18:00:00,2371251,4,,0,0,45375.2546074356,0,0,,
t_119058_b_631_tn_0,18:20:00,18:20:00,12412,5,,0,0,60847.02859888,0,0,,
t_1405_b_631_tn_0,16:53:00,16:53:00,14926,1,,0,0,0,0,0,,
t_1405_b_631_tn_0,,,12153,2,,0,0,502.927643563586,0,0,,
t_1405_b_631_tn_0,,,12151,3,,0,0,1029.36621156287,0,0,,
t_1405_b_631_tn_0,,,12154,4,,0,0,1512.37106847946,0,0,,
t_1405_b_631_tn_0,,,12156,5,,0,0,2032.13684713607,0,0,,
t_1405_b_631_tn_0,,,12237,6,,0,0,2631.41915899718,0,0,,
t_1405_b_631_tn_0,,,12238,7,,0,0,2999.97118688606,0,0,,
t_1405_b_631_tn_0,,,12239,8,,0,0,3569.08277291979,0,0,,
t_1405_b_631_tn_0,17:04:00,17:04:00,12240,9,,0,0,3792.99228453847,0,0,,
t_1405_b_631_tn_0,,,12241,10,,0,0,4841.47165227018,0,0,,
t_1405_b_631_tn_0,,,12243,11,,0,0,5145.66333467315,0,0,,
t_1405_b_631_tn_0,,,12245,12,,0,0,5703.81136774863,0,0,,
t_1405_b_631_tn_0,,,12247,13,,0,0,6062.1659280057,0,0,,
t_1405_b_631_tn_0,,,12249,14,,0,0,6350.85000630099,0,0,,
t_1405_b_631_tn_0,17:11:00,17:11:00,12251,15,,0,0,6998.72117932236,0,0,,
t_1405_b_631_tn_0,,,12252,16,,0,0,7583.92074417055,0,0,,
t_1405_b_631_tn_0,,,12254,17,,0,0,7963.86542279174,0,0,,
t_1405_b_631_tn_0,,,12256,18,,0,0,8352.52571569257,0,0,,
t_1405_b_631_tn_0,,,12258,19,,0,0,8600.11004851348,0,0,,
t_1405_b_631_tn_0,,,12261,20,,0,0,8792.22023060017,0,0,,
t_1405_b_631_tn_0,17:17:00,17:17:00,12172,21,,0,0,9149.30581944,0,0,,
t_1406_b_79_tn_0,06:45:00,06:45:00,14924,1,,0,0,0,0,0,,
t_1406_b_79_tn_0,06:55:00,06:55:00,14925,2,,0,0,5540.02996478364,0,0,,
t_1406_b_79_tn_0,07:40:00,07:40:00,14929,3,,0,0,66413.8051342244,0,0,,
t_1406_b_79_tn_0,07:42:00,07:42:00,14930,4,,0,0,66842.5474289354,0,0,,
t_1406_b_79_tn_0,07:44:00,07:44:00,14931,5,,0,0,67268.821465105,0,0,,
t_1406_b_79_tn_0,07:47:00,07:47:00,14932,6,,0,0,67819.6410368863,0,0,,
t_1406_b_79_tn_0,07:48:00,07:48:00,14933,7,,0,0,68242.0375522771,0,0,,
t_1406_b_79_tn_0,07:50:00,07:50:00,14934,8,,0,0,68791.1908260855,0,0,,
t_1406_b_79_tn_0,07:52:00,07:52:00,14935,9,,0,0,69310.1240294973,0,0,,
t_1406_b_79_tn_0,07:55:00,07:55:00,14936,10,,0,0,69800.6126398435,0,0,,
t_1406_b_79_tn_0,08:40:00,08:40:00,12283,11,,1,0,136578.895902356,0,0,,
t_1406_b_79_tn_0,08:45:00,08:45:00,14923,12,,1,0,137588.82504031,0,0,,
t_1407_b_631_tn_0,08:19:00,08:19:00,12265,1,Yuba College,0,0,0,0,0,,
t_1407_b_631_tn_0,,,12267,2,,0,0,347.817751991223,0,0,,
t_1407_b_631_tn_0,,,12269,3,,0,0,670.612358216559,0,0,,
t_1407_b_631_tn_0,,,12271,4,,0,0,1022.89540370921,0,0,,
t_1407_b_631_tn_0,08:29:00,08:29:00,12432,5,Yuba College,0,0,1471.41626594119,0,0,,
t_1407_b_631_tn_0,,,12286,6,,0,0,1927.49022711357,0,0,,
t_1407_b_631_tn_0,,,12320,7,,0,0,4142.22643038045,0,0,,
t_1407_b_631_tn_0,08:35:00,08:35:00,12322,8,Yuba College,0,0,4417.75859386318,0,0,,
t_1407_b_631_tn_0,,,12324,9,,0,0,5608.49020746786,0,0,,
t_1407_b_631_tn_0,,,12326,10,,0,0,5841.19176754902,0,0,,
t_1407_b_631_tn_0,,,12345,11,,0,0,6164.82543741095,0,0,,
t_1407_b_631_tn_0,,,12328,12,,0,0,6639.73517368361,0,0,,
t_1407_b_631_tn_0,,,12330,13,,0,0,7101.79395152936,0,0,,
t_1407_b_631_tn_0,08:45:00,08:45:00,12332,14,,0,0,7788.70395058,0,0,,
t_1408_b_79_tn_0,05:35:00,05:35:00,14923,1,,0,0,0,0,0,,
t_1408_b_79_tn_0,05:45:00,05:45:00,14924,2,,0,0,4853.40493179409,0,0,,
t_1408_b_79_tn_0,05:55:00,05:55:00,14925,3,,0,0,10393.4348965777,0,0,,
t_1408_b_79_tn_0,06:35:00,06:35:00,14929,4,,0,0,71267.2100660185,0,0,,
t_1408_b_79_tn_0,06:37:00,06:37:00,14930,5,,0,0,71695.9523607294,0,0,,
t_1408_b_79_tn_0,06:39:00,06:39:00,14931,6,,0,0,72122.226396899,0,0,,
t_1408_b_79_tn_0,06:42:00,06:42:00,14932,7,,0,0,72673.0459686804,0,0,,
t_1408_b_79_tn_0,06:43:00,06:43:00,14933,8,,0,0,73095.4424840711,0,0,,
t_1408_b_79_tn_0,06:45:00,06:45:00,14934,9,,0,0,73644.5957578795,0,0,,
t_1408_b_79_tn_0,06:47:00,06:47:00,14935,10,,0,0,74163.5289612913,0,0,,
t_1408_b_79_tn_0,06:50:00,06:50:00,14936,11,,1,0,74654.01757161,0,0,,
t_1409_b_79_tn_0,06:10:00,06:10:00,14923,1,,0,0,0,0,0,,
t_1409_b_79_tn_0,06:20:00,06:20:00,14924,2,,0,0,4853.40493179409,0,0,,
t_1409_b_79_tn_0,06:30:00,06:30:00,14925,3,,0,0,10393.4348965777,0,0,,
t_1409_b_79_tn_0,07:10:00,07:10:00,14929,4,,0,0,71267.2100660185,0,0,,
t_1409_b_79_tn_0,07:12:00,07:12:00,14930,5,,0,0,71695.9523607294,0,0,,
t_1409_b_79_tn_0,07:14:00,07:14:00,14931,6,,0,0,72122.226396899,0,0,,
t_1409_b_79_tn_0,07:17:00,07:17:00,14932,7,,0,0,72673.0459686804,0,0,,
t_1409_b_79_tn_0,07:18:00,07:18:00,14933,8,,0,0,73095.4424840711,0,0,,
t_1409_b_79_tn_0,07:20:00,07:20:00,14934,9,,0,0,73644.5957578795,0,0,,
t_1409_b_79_tn_0,07:22:00,07:22:00,14935,10,,0,0,74163.5289612913,0,0,,
t_1409_b_79_tn_0,07:25:00,07:25:00,14936,11,,1,0,74654.01757161,0,0,,
t_1410_b_79_tn_0,06:25:00,06:25:00,14923,1,,0,0,0,0,0,,
t_1410_b_79_tn_0,06:35:00,06:35:00,14924,2,,0,0,4853.40493179409,0,0,,
t_1410_b_79_tn_0,06:45:00,06:45:00,14925,3,,0,0,10393.4348965777,0,0,,
t_1410_b_79_tn_0,07:25:00,07:25:00,14929,4,,0,0,71267.2100660185,0,0,,
t_1410_b_79_tn_0,07:27:00,07:27:00,14930,5,,0,0,71695.9523607294,0,0,,
t_1410_b_79_tn_0,07:29:00,07:29:00,14931,6,,0,0,72122.226396899,0,0,,
t_1410_b_79_tn_0,07:32:00,07:32:00,14932,7,,0,0,72673.0459686804,0,0,,
t_1410_b_79_tn_0,07:33:00,07:33:00,14933,8,,0,0,73095.4424840711,0,0,,
t_1410_b_79_tn_0,07:35:00,07:35:00,14934,9,,0,0,73644.5957578795,0,0,,
t_1410_b_79_tn_0,07:37:00,07:37:00,14935,10,,0,0,74163.5289612913,0,0,,
t_1410_b_79_tn_0,07:40:00,07:40:00,14936,11,,1,0,74654.01757161,0,0,,
t_1411_b_79_tn_0,07:55:00,07:55:00,14926,1,,0,0,0,0,0,,
t_1411_b_79_tn_0,08:02:00,08:02:00,14923,2,,0,0,4531.2902073433,0,0,,
t_1411_b_79_tn_0,08:15:00,08:15:00,14927,3,,0,0,14133.487622661,0,0,,
t_1411_b_79_tn_0,08:27:00,08:27:00,12403,4,,0,0,25742.2184063681,0,0,,
t_1411_b_79_tn_0,09:00:00,09:00:00,14929,5,,1,0,70934.914870732,0,0,,
t_1411_b_79_tn_0,09:02:00,09:02:00,14930,6,,1,0,71363.657165443,0,0,,
t_1411_b_79_tn_0,09:04:00,09:04:00,14931,7,,1,0,71789.9312016126,0,0,,
t_1411_b_79_tn_0,09:07:00,09:07:00,14932,8,,1,0,72340.750773394,0,0,,
t_1411_b_79_tn_0,09:08:00,09:08:00,14933,9,,1,0,72763.1472887847,0,0,,
t_1411_b_79_tn_0,09:10:00,09:10:00,14934,10,,1,0,73312.3005625931,0,0,,
t_1411_b_79_tn_0,09:12:00,09:12:00,14935,11,,1,0,73831.2337660049,0,0,,
t_1411_b_79_tn_0,09:15:00,09:15:00,14936,12,,1,0,74321.72237634,0,0,,
t_1412_b_79_tn_0,15:45:00,15:45:00,14929,1,,0,0,0,0,0,,
t_1412_b_79_tn_0,15:47:00,15:47:00,14930,2,,0,0,428.742294710976,0,0,,
t_1412_b_79_tn_0,15:49:00,15:49:00,14931,3,,0,0,855.016330880556,0,0,,
t_1412_b_79_tn_0,15:52:00,15:52:00,14932,4,,0,0,1405.83590266192,0,0,,
t_1412_b_79_tn_0,15:53:00,15:53:00,14933,5,,0,0,1828.23241805268,0,0,,
t_1412_b_79_tn_0,15:55:00,15:55:00,14934,6,,0,0,2377.38569186107,0,0,,
t_1412_b_79_tn_0,15:57:00,15:57:00,14935,7,,0,0,2896.31889527284,0,0,,
t_1412_b_79_tn_0,16:00:00,16:00:00,14936,8,,0,0,3386.80750561909,0,0,,
t_1412_b_79_tn_0,16:40:00,16:40:00,14925,9,,1,0,65215.805826319,0,0,,
t_1412_b_79_tn_0,16:55:00,16:55:00,14926,10,,1,0,70832.707525551,0,0,,
