timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,12412,1,Brownsville (Gold Eagle Market),/Foothill Route
1,2371251,2,Dobbins/Oregon House Fire Department,/Foothill Route
1,12414,3,Willow Glen Cafe,"/Foothill Route, /New Route"
1,12415,4,Loma Rica (Gold Eagle Market),"/Foothill Route, /New Route"
1,758939,5,Yuba Co. Government Center and I & 9th Streets,"1/Yuba City to Yuba College, /Foothill Route, /Live Oak Route, /Wheatland Route"
2,758939,1,Yuba Co. Government Center and I & 9th Streets,"1/Yuba City to Yuba College, /Foothill Route, /Live Oak Route, /Wheatland Route"
2,12415,2,Loma Rica (Gold Eagle Market),"/Foothill Route, /New Route"
2,12414,3,Willow Glen Cafe,"/Foothill Route, /New Route"
2,2371251,4,Dobbins/Oregon House Fire Department,/Foothill Route
2,12412,5,Brownsville (Gold Eagle Market),/Foothill Route
3,14923,1,I St & 9th St (SB),"4A/Marysville Loop, 70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
3,14927,2,Power Line Rd & McGowan Pkwy (NB),"70/HWY 70 to Sacramento, MD/Sacramento Mid Day Express"
3,12403,3,Plumas Lake Park & Ride (Hwy 70),"70/HWY 70 to Sacramento, MD/Sacramento Mid Day Express, /New Route"
3,14929,4,J St & 4th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
3,14930,5,J St & 8th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
3,14931,6,J St & 11th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
3,14932,7,15th St & K St (SB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
3,14933,8,15th St & N St (SB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
3,14934,9,P St & 13th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
3,14935,10,P St & 9th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
3,14936,11,P St & 5th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,14929,1,J St & 4th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,14930,2,J St & 8th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,14931,3,J St & 11th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,14932,4,15th St & K St (SB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,14933,5,15th St & N St (SB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,14934,6,P St & 13th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,14935,7,P St & 9th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,14936,8,P St & 5th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
4,12403,9,Plumas Lake Park & Ride (Hwy 70),"70/HWY 70 to Sacramento, MD/Sacramento Mid Day Express, /New Route"
4,14927,10,Power Line Rd & McGowan Pkwy (NB),"70/HWY 70 to Sacramento, MD/Sacramento Mid Day Express"
4,14923,11,I St & 9th St (SB),"4A/Marysville Loop, 70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14923,1,I St & 9th St (SB),"4A/Marysville Loop, 70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14924,2,Walton Ave & Sam's Club Entrance (SB),"99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14925,3,Bogue Rd & Highway 99 (SB),"99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14929,4,J St & 4th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14930,5,J St & 8th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14931,6,J St & 11th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14932,7,15th St & K St (SB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14933,8,15th St & N St (SB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14934,9,P St & 13th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14935,10,P St & 9th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
5,14936,11,P St & 5th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14929,1,J St & 4th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14930,2,J St & 8th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14931,3,J St & 11th St (EB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14932,4,15th St & K St (SB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14933,5,15th St & N St (SB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14934,6,P St & 13th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14935,7,P St & 9th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14936,8,P St & 5th St (WB),"70/HWY 70 to Sacramento, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
6,14925,9,Bogue Rd & Highway 99 (SB),"99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
